@RELATION coords
@ATTRIBUTE x REAL
@ATTRIBUTE y REAL
@ATTRIBUTE isTraining {false,true}
@DATA
1.0,0.9994107248084855,true
7.0,0.9996674246670377,true
13.0,0.9989435692311218,true
19.0,0.9984816928294636,true
25.0,0.9983798942284317,true
31.0,0.9981831601268438,true
37.0,0.9983288163014868,true
43.0,0.9981717130663171,true
49.0,0.9980237795227648,true
55.0,0.9983871702367587,true
61.0,0.9981363609707735,true
67.0,0.9981066191957009,true
73.0,0.9975971004680001,true
79.0,0.997529210160971,true
85.0,0.9978025428398035,true
91.0,0.9980319271175314,true
97.0,0.9978050630187449,true
1.0,0.9804503367782543,false
7.0,0.9914115557082762,false
13.0,0.993255547588029,false
19.0,0.9935911140127813,false
25.0,0.9939926329126454,false
31.0,0.9945626983861602,false
37.0,0.9940853364058846,false
43.0,0.9934923791248474,false
49.0,0.9946922595028115,false
55.0,0.9948578531619621,false
61.0,0.9948816369491161,false
67.0,0.9949778946780409,false
73.0,0.9956459108279292,false
79.0,0.9954625120516781,false
85.0,0.9958937459450565,false
91.0,0.9960115717321164,false
97.0,0.9960676104583107,false
