file;uncertain;quiteUncertain;veryUncertain;uncertainDensity;quiteUncertainDensity;veryUncertainDensity
c7d227da18137af575984bd1bab7c878f9558791/common/src/test/resources/algorithm_tests/full_tests/unnecessary_moves/right.txt;9;0;0;6.769716800180526E-5;0.0;0.0
2cecdf090df61cfeb4a105e4f1acbe837d6338b7/pass1results.txt;4423;1767;975;0.00231708007049204;9.256795126745275E-4;5.107739246506306E-4
90563018926795427fad4cf3652b84d51f7567f5/gui/src/main/scala/com/kristofszilagyi/sedito/gui/Main.scala;52;25;15;0.00933572710951526;0.004488330341113106;0.0026929982046678637
90563018926795427fad4cf3652b84d51f7567f5/gui/src/test/scala/com/kristofszilagyi/sedito/gui/TrainAndDiff.scala;12;8;3;0.003630862329803328;0.002420574886535552;9.07715582450832E-4
90563018926795427fad4cf3652b84d51f7567f5/pass1results.txt;473;189;107;0.0014051327449401854;5.61458961508869E-4;3.178630099547565E-4
2e5e45c22e82db14cbff5a40f6186d5ce68fd55f/gui/src/test/scala/com/kristofszilagyi/sedito/gui/FeatureElimination.scala;6;2;1;0.0029426189308484553;9.80872976949485E-4;4.904364884747426E-4
2e5e45c22e82db14cbff5a40f6186d5ce68fd55f/gui/src/test/scala/com/kristofszilagyi/sedito/gui/TrainAndDiff.scala;8;3;2;0.001321658681645465;4.956220056170494E-4;3.3041467041136624E-4
2e5e45c22e82db14cbff5a40f6186d5ce68fd55f/gui/src/test/scala/com/kristofszilagyi/sedito/gui/TrainingData.scala;205;62;36;0.01857893782853;0.00561899583106761;0.0032626427406199023
f6596bce7a1fea4a04b5f8c2bb24ca482318e744/aligner/src/main/scala/com/kristofszilagyi/sedito/aligner/Features.scala;12;10;7;0.0759493670886076;0.06329113924050633;0.04430379746835443
f6596bce7a1fea4a04b5f8c2bb24ca482318e744/gui/src/test/scala/com/kristofszilagyi/sedito/gui/LearningCurve.scala;7;0;0;0.004305043050430504;0.0;0.0
f6596bce7a1fea4a04b5f8c2bb24ca482318e744/gui/src/test/scala/com/kristofszilagyi/sedito/gui/Train.scala;11;3;2;0.001937984496124031;5.285412262156448E-4;3.5236081747709656E-4
f6596bce7a1fea4a04b5f8c2bb24ca482318e744/gui/src/test/scala/com/kristofszilagyi/sedito/gui/TrainAndDiff.scala;113;55;37;0.007018633540372671;0.0034161490683229812;0.002298136645962733
f6596bce7a1fea4a04b5f8c2bb24ca482318e744/gui/src/test/scala/com/kristofszilagyi/sedito/gui/TrainPass2.scala;5;0;0;0.0015938795027095952;0.0;0.0
f6596bce7a1fea4a04b5f8c2bb24ca482318e744/gui/src/test/scala/com/kristofszilagyi/sedito/gui/TrainingData.scala;117;55;39;0.01832706766917293;0.008615288220551378;0.006109022556390977
f6596bce7a1fea4a04b5f8c2bb24ca482318e744/gui/src/test/scala/com/kristofszilagyi/sedito/gui/WriteFeatures.scala;0;0;0;0.0;0.0;0.0
3fb372f27566d9259043549343e0494d0a6f3a90/aligner/src/main/resources/first_phase_scaler.xml;26655;24766;24479;0.7535408362310236;0.7001385237327905;0.6920249908122014
